category_slug,keyword,priority,locale
beauty-personal-care,eyeliner,1,en-MY
beauty-personal-care,serum,1,en-MY
beauty-personal-care,lip tint,2,en-MY
muslim-fashion,baju kurung,1,en-MY
muslim-fashion,blouse muslimah,1,en-MY
muslim-fashion,tudung,2,en-MY
food-beverages,halal snack,1,en-MY
food-beverages,jeruk mangga,1,en-MY
food-beverages,instant spaghetti,2,en-MY
home-supplies,storage box,2,en-MY
home-supplies,organizer,2,en-MY
kitchenware,oil dispenser,2,en-MY
textiles,bed sheet,2,en-MY
fashion-accessories,socks,2,en-MY
pet-supplies,cat toy,2,en-MY
sports-outdoors,resistance band,2,en-MY
