queue_id,broad_category_slug,sub_category,micro_niche,keyword,tiktok_search_url,tiktok_tag_url,google_shop_query_url
KW-0001,appliances,,,handheld vacuum,https://www.tiktok.com/search?q=handheld+vacuum,https://www.tiktok.com/tag/handheld-vacuum,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22handheld+vacuum%22+Malaysia
KW-0002,appliances,,,humidifier,https://www.tiktok.com/search?q=humidifier,https://www.tiktok.com/tag/humidifier,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22humidifier%22+Malaysia
KW-0003,appliances,,,mini blender,https://www.tiktok.com/search?q=mini+blender,https://www.tiktok.com/tag/mini-blender,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22mini+blender%22+Malaysia
KW-0004,appliances,,,portable fan,https://www.tiktok.com/search?q=portable+fan,https://www.tiktok.com/tag/portable-fan,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22portable+fan%22+Malaysia
KW-0005,appliances,Air and aroma,Humidifiers and diffusers,aroma machine,https://www.tiktok.com/search?q=aroma+machine,https://www.tiktok.com/tag/aroma-machine,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22aroma+machine%22+Malaysia
KW-0006,appliances,Air and aroma,Humidifiers and diffusers,diffuser,https://www.tiktok.com/search?q=diffuser,https://www.tiktok.com/tag/diffuser,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22diffuser%22+Malaysia
KW-0007,appliances,Air and aroma,Humidifiers and diffusers,humidifier,https://www.tiktok.com/search?q=humidifier,https://www.tiktok.com/tag/humidifier,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22humidifier%22+Malaysia
KW-0008,appliances,Cooling,Portable fans,clip fan,https://www.tiktok.com/search?q=clip+fan,https://www.tiktok.com/tag/clip-fan,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22clip+fan%22+Malaysia
KW-0009,appliances,Cooling,Portable fans,desk fan,https://www.tiktok.com/search?q=desk+fan,https://www.tiktok.com/tag/desk-fan,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22desk+fan%22+Malaysia
KW-0010,appliances,Cooling,Portable fans,portable fan,https://www.tiktok.com/search?q=portable+fan,https://www.tiktok.com/tag/portable-fan,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22portable+fan%22+Malaysia
